Suffix,City,Inhabitant_term,Country
ite,Dunedin,Dunedinite,New Zealand
can,Maribor,Mariborcan,Slovenia
ian,Kohima,Kohimian,India
an,Galle,Galleans,Sri Lanka
i,Janakpur,Janakpuri,Nepal
kar,Marmagao,Mormugaokar,India
as,Prizren,Prizrenas,Kosovo
n,Suceava,sucevean,Romania
er,Amstelveen,Amstelvener,Netherlands
ine,Poitiers,Poitevine,France
ian,Chester,Cestrian,United Kingdom
nhon,Kalibo,Kalibonhon,Philippines
eano,Tucupita,Tucupiteano,Venezuela
er,Purmerend,Purmerender,Netherlands
ene,Nazareth,Nazarene,Israel
on,Nabunturan,Nabunturanon,Philippines
er,Lucerne,Luzerner,Switzerland
ense,Tecate,Tecatense,Mexico
ani,Casoria,Casoriani,Italy
er,Schiedam,Schiedammer,Netherlands
ense,Silao,silaoense,Mexico
ase,Elbasan,Elbasanase,Albania
ese,Lebanon,Lebanese,United States
ino,Aviles,avilesino,Spain
ois,Cannes,Cannois,France
ite,Malappuram,Malappuramite,India
er,Vlaardingen,Vlaardinger,Netherlands
ense,Benalmadena,Benalmadenses,Spain
naar,Spijkenisse,Spijkenissenaar,Netherlands
ien,Calais,Calaisiens,France
non,Oroquieta,Oroquietanon,Philippines
ien,Ajaccio,Ajacciens,France
ian,Yambol,Yambolian,Bulgaria
ec,Kumanovo,Kumanovec,Macedonia
eano,Guaynabo,Guaynabeano,Puerto Rico
er,Veenendaal,Veenendaler,Netherlands
no,Moquegua,Moqueguano,Peru
ense,Rivera,Riverense,Uruguay
aar,Assen,Assenaar,Netherlands
esi,Portici,Porticesi,Italy
esi,Afragola,Afragolesi,Italy
er,Katwijk,Katwijker,Netherlands
tini,Potenza,Potentini,Italy
in,Granollers,granollerin,Spain
ese,Guayama,Guayameses,Puerto Rico
ian,Runcorn,Runcornian,United Kingdom
eano,Latacunga,Latacungueano,Ecuador
esi,Legnano,Legnanesi,Italy
ian,Anuradhapura,Anuradhapurian,Sri Lanka
ino,Coyhaique,Coyhaiquino,Chile
man,Limerick,Limerickman,Ireland
ero,Mislata,Mislatero,Spain
ian,Wellingborough,Wellingburian,United Kingdom
nser,Vejle,Vejlenser,Denmark
ense,Tacuarembo,tacuaremboense,Uruguay
eano,Artemisa,Artemiseano,Cuba
ly,Yevlax,Yevlakhly,Azerbaijan
er,Rijswijk,Rijswijker,Netherlands
ni,Aversa,Aversani,Italy
n,Chania,Chanian,Greece
er,Biel,Bieler,Switzerland
ense,Ushuaia,Ushuaiense,Argentina
ino,Moyobamba,Moyobambino,Peru
si,Gallarate,Gallaratesi,Italy
ian,Florida,Floridian,Argentina
er,New Brunswick,New Brunswicker,United States
esi,Ercolano,Ercolanesi,Italy
as,Gjilan,Gjilanas,Kosovo
eano,Tulcan,Tulcaneano,Ecuador
are,Korce,Korcare,Albania
n,Liberia,Liberian,Costa Rica
esi,Scafati,Scafatesi,Italy
ese,Collegno,Collegnese,Italy
is,Bastia,Bastiais,France
er,Barendrecht,Barendrechter,Netherlands
si,Lissone,Lissonesi,Italy
ite,Vidin,Vidinite,Bulgaria
are,Ostersund,ostersundare,Sweden
ani,Campobasso,Campobassani,Italy
ese,Nichelino,Nichelinese,Italy
no,Huancavelica,Huancavelicano,Peru
ian,Inverness,Invernesian,United Kingdom
ian,Waterford,Waterfordian,Ireland
enques,Figueras,Figuerenques,Spain
ais,Talence,Talencais,France
aar,Schagen,Schagenaar,Netherlands
esi,Seregno,Seregnesi,Italy
ian,Worksop,Worksopian,United Kingdom
ite,Invercargill,Invercargillite,New Zealand
naar,Kerkrade,Kerkradenaar,Netherlands
ois,Valenciennes,Valenciennois,France
lese,Togo,Togolese,Japan
an,Chorley,Chorlean,United Kingdom
esi,Rozzano,Rozzanesi,Italy
er,Thun,Thuner,Switzerland
ite,Arendal,Arendalite,Norway
ais,Tarbes,Tarbais,France
ani,Desio,Desiani,Italy
er,Beverwijk,Beverwijker,Netherlands
ite,Matale,Mathalites,Sri Lanka
ean,Drogheda,Droghedean,Ireland
ense,Cacem,Cacemense,Portugal
onian,Ramsgate,Ramsgatonian,United Kingdom
ian,Coalville,Coalvillian,United Kingdom
esi,Saronno,Saronnesi,Italy
enc,Blanes,Blanenc,Spain
er,Fribourg,Freiburger,Switzerland
as,Berat,Beratas,Albania
ense,Puntarenas,Puntarenense,Costa Rica
awi,Zgharta,Zghartawi,Lebanon
esi,Ciampino,Ciampinesi,Italy
ense,Zacatelco,Zacatelquense,Mexico
esi,Arzano,Arzanesi,Italy
er,Burjasot,Burjassoter,Spain
esi,Corsico,Corsichesi,Italy
kar,Panaji,Ponnjekar,India
ense,Calpulalpan,Calpulalpense,Mexico
tan,Annapolis,Annapolitan,United States
ese,Grugliasco,Grugliaschese,Italy
n,Montana,Montanan,Bulgaria
ian,Jordan,Jordanian,Philippines
esi,Pioltello,Pioltellesi,Italy
si,Bollate,Bollatesi,Italy
esi,Brugherio,Brugheresi,Italy
karan,Attingal,Attingalkaran,India
ani,Kikinda,Kikindani,Serbia
an,Brzeg,Brzean,Poland
si,Limbiate,Limbiatesi,Italy
ois,Tozeur,Tozeurois,Tunisia
er,Alacuas,Alaquaser,Spain
er,Maassluis,Maassluizer,Netherlands
esi,Angri,Angresi,Italy
aner,Hillerod,Hillerodaner,Denmark
er,Chur,Churer,Switzerland
ois,Ermont,Ermontois,France
ani,Vrsac,Vrscani,Serbia
esi,Villaricca,Villaricchesi,Italy
er,Darwen,Darrener,United Kingdom
ani,Aosta,Aostani,Italy
taara,Sestao,sestaotarra,Spain
ois,Neuchatel,Neuchatelois,Switzerland
er,Papendrecht,Papendrechter,Netherlands
er,Bussum,Bussumer,Netherlands
er,Aldaya,Aldaier,Spain
ense,Huatabampo,Huatabampense,Mexico
iz,Sliema,Slimiz,Malta
esi,Bresso,Bressesi,Italy
aar,Diemen,Diemenaar,Netherlands
i,Paiporta,Paiporti,Spain
iz,Birkirkara,Karkariz,Malta
ian,Kurunegala,Kurunegalians,Sri Lanka
i,Salgotarjan,Salgotarjani,Hungary
er,Molde,Moldenser,Norway
ano,Pompeu,Pompeano,Brazil
er,Zug,Zuger,Switzerland
n,Catarroja,Catarrojan,Spain
ano,Tomares,Tomareano,Spain
can,Tecax,Tecaxican,Mexico
naar,Heemstede,Heemstedenaar,Netherlands
eano,Camaligan,Camaligueano,Philippines
esi,Chiavari,Chiavaresi,Italy
esi,Cardito,Carditesi,Italy
er,Leiderdorp,Leiderdorper,Netherlands
non,Siquijor,Siquijodnon,Philippines
eano,Hunucma,Hunucmeano,Mexico
esi,Qualiano,Qualianesi,Italy
ense,Mitu,Mituense,Colombia
sien,Orly,Orlysien,France
naar,Oegstgeest,Oegstgeestenaar,Netherlands
ense,Alboraya,Alborayense,Spain
an,Mytilini,Mytilenian,Greece
enser,Hamar,Hamarenser,Norway
ais,Renens,Renanais,Switzerland
aar,Voorschoten,Voorschotenaar,Netherlands
esi,Seriate,Seriatesi,Italy
ani,Pompei,Pompeiani,Italy
man,Ennis,Ennisman,Ireland
ian,Arbroath,Arbroathian,United Kingdom
ini,Seveso,Sevesini,Italy
ino,Fray Bentos,fraybentino,Uruguay
ac,Vukovar,Vukovarac,Croatia
nian,Truro,Truronian,United Kingdom
ia,Balasore,Baleswaria,India
esi,Cormano,Cormanesi,Italy
ite,Gjirokaster,Gjirokastrite,Albania
esi,Frattaminore,Frattaminoresi,Italy
esi,Valmiera,Valmieriesi,Latvia
esi,Senago,Senaghesi,Italy
enc,Alfafar,Alfafarenc,Spain
er,Allschwil,Allschwiler,Switzerland
er,Aarau,Aarauer,Switzerland
i,Mosta,Mosti,Malta
ini,Monserrato,Monserratini,Italy
an,Palau,Palauan,Mexico
ini,Arese,Aresini,Italy
i,Fgura,Fguri,Malta
esi,Cercola,Cercolesi,Italy
en,Cran-Gevrier,Cran-Gevriens,France
er,Alblasserdam,Alblasserdammer,Netherlands
enc,Calella,Calellenc,Spain
er,Adliswil,Adliswiler,Switzerland
kar,Sakri,Sakrikar,India
ian,Greystones,Greystonian,Ireland
n,Tlaxcala,Tlaxcalan,Mexico
ini,Cattolica,Cattolichini,Italy
ani,Ulcinj,Ulcinjani,Montenegro
er,Westmount,Westmounter,Canada
er,Solothurn,Solothurner,Switzerland
i,Canovellas,Canovelli,Spain
esi,Brusciano,Bruscianesi,Italy
n,Pljevlja,Pljevljan,Montenegro
enc,Albal,Albalenc,Spain
ese,Masamagrell,Massamagrellese,Spain
esi,Casandrino,Casandrinesi,Italy
i,Zabbar,Zabbari,Malta
iz,Tarxien,Tarxiniz,Malta
ense,Gines,Ginense,Spain
ian,Kukes,Kuksian,Albania
er,Arbon,Arboner,Switzerland
ite,Bodmin,Bodminite,United Kingdom
esi,Castellanza,Castellanzesi,Italy
n,Senglea,Senglean,Malta
esi,Baranzate,Baranzatesi,Italy
esi,Varedo,Varedesi,Italy
iya,Chhapra,Chaprahiya,India
ian,Bartica,Bartician,Guyana
enc,Sedavi,Sedavienc,Spain
esi,Calvizzano,Calvizzanesi,Italy
esi,Canegrate,Canegratesi,Italy
esi,Biassono,Biassonesi,Italy
i,Naxxar,Naxxari,Malta
ian,Carnoustie,Carnoustian,United Kingdom
nin,Cetinje,Cetinjanin,Montenegro
os,Cayey,Cayeyanos,Puerto Rico
ani,Capodrise,Capodrisani,Italy
i,Zebbug,Zebbugi,Malta
er,Meliana,Melianer,Spain
i,Zejtun,Zejtuni,Malta
ani,Procida,Procidani,Italy
er,Zaandijk,Zaandijker,Netherlands
eano,Azogues,Azogueano,Ecuador
a,Encamp,encampada,Andorra
ni,Cesa,Cesani,Italy
eano,Manati,Manatieano,Puerto Rico
i,Zurrieq,Zurrieqi,Malta
i,Balzan,Balzani,Malta
esi,Casapulla,Casapullesi,Italy
ese,Piedmont,Piemontese,United States
ni,Montmelo,Montmeloni,Spain
nos,Reinosa,Reinosanos,Spain
i,Birzebbuga,Birzebbugi,Malta
n,Siparia,Siparian,Trinidad and Tobago
i,Mellieha,Melliehi,Malta
er,Sarnen,Sarner,Switzerland
eano,Coamo,Coameano,Puerto Rico
iz,Hamrun,Hamruniz,Malta
nin,Tivat,Tivtanin,Montenegro
ian,Kirkwall,Kirkwallian,United Kingdom
ci,Rozaje,Rozajci,Montenegro
awi,Siggiewi,Siggiewi,Malta
n,Dangriga,Dangrigan,Belize
er,Glarus,Glarner,Switzerland
i,Ghaxaq,Ghaxaqi,Malta
n,Lija,Lijan,Malta
i,Xaghra,Xaghri,Malta
i,Nadur,Naduri,Malta
iz,Iklin,Ikliniz,Malta
enc,Ordino,Ordinenc,Andorra
i,Coka,Cokani,Serbia
iz,Kalkara,Kalkariz,Malta
iz,Floriana,Furjaniz,Malta
n,Gudja,Gudjan,Malta
in,Dingli,Dinglin,Malta
i,Gharghur,Gharghuri,Malta
enc,Canillo,canillenc,Andorra
i,Xewkija,Xewki,Malta
i,Imtarfa,Mtarfi,Malta
i,Xghajra,Xghajri,Malta
n,Qrendi,Qrendin,Malta
iz,Ghajnsielem,Ghajnsielimiz,Malta
i,Sannat,Sannati,Malta
i,Kercem,Kercemi,Malta
i,Munxar,Munxari,Malta
ense,Picos,Picosense,Cabo Verde
i,Ghasri,Ghasri,Malta
ese,Udine,Udinese,Italy
karan,Tellicherry,Thalasserikaran,India
esi,Andria,Andriesi,Italy
n,Tinsukia,Tinsukian,India
wasi,Dhar,Dharwasi,India
ganon,Oton,Ogtonganon,Philippines
non,Bislig,Bisliganon,Philippines
ini,Arezzo,Aretini,Italy
kar,Karwar,Karwarkar,India
ense,Trelew,Trelewense,Argentina
eana,Jamundi,Jamundeana,Colombia
te,Cesena,Cesenate,Italy
k,Greece,Greek,United States
ense,Caieiras,Caieirense,Brazil
an,Sivakasi,Sivakasian,India
esi,Pesaro,Pesaresi,Italy
an,Vaniyambadi,Vaniyambadian,India
ese,Lecce,Leccese,Italy
ense,Guaiba,guaibense,Brazil
ni,Barletta,Barlettani,Italy
ini,Alessandria,Alessandrini,Italy
enaar,Helmond,Helmondenaar,Netherlands
ano,Kabacan,Kabaqueano,Philippines
ano,Mayaguez,Mayagzezano,Puerto Rico
er,Hilversum,Hilversummer,Netherlands
naar,Oss,Ossenaar,Netherlands
ino,Rafaela,rafaelino,Argentina
ense,Lavras,lavrense,Brazil
no,Funza,Funzano,Colombia
er,Southport,Sandgrounder,United Kingdom
no,Pisa,Pisano,Italy
ense,Sahagun,sahagunense,Colombia
ese,Pistoia,Pistoiese,Italy
eano,Mijas,Mijeano,Spain
eano,Polangui,Polangueano,Philippines
ite,Waukegan,Waukeganite,United States
esi,Lucca,Lucchesi,Italy
ense,Cantaura,Cantaurense,Venezuela
aar,Heerlen,Heerlenaar,Netherlands
kar,Madgaon,Madgaonkar,India
es,Montelibano,Montelibanes,Colombia
ense,Maiquetia,Maiquetiense,Venezuela
eano,Cipolletti,cipolleano,Argentina
ini,Brindisi,Brindisini,Italy
ense,Itabaiana,itabaianense,Brazil
ino,Chiguayante,Chiguayantino,Chile
nian,Muncie,Munsonian,United States
eano,Tagaytay,Tagaytayeano,Philippines
ani,Treviso,Trevisani,Italy
ano,Guinobatan,Guinobateano,Philippines
ense,Cacoal,cacoalense,Brazil
eano,Chiquinquira,Chiquinquireano,Colombia
ense,Guanambi,guanambiense,Brazil
ois,Brossard,Brossardois,Canada
non,Dapitan,Dapitanon,Philippines
n,Torrevieja,Torreviejan,Spain
eano,Chigorodo,Chigorodoseano,Colombia
esi,Cerete,Ceretesi,Colombia
ense,Ijui,Ijuiense,Brazil
es,Pontevedra,pontevedres,Spain
ean,Chingleput,Chengalpattean,India
ese,Marsala,Marsalese,Italy
ote,Katerini,Kateriniote,Greece
ense,Sorriso,sorrisense,Brazil
ian,Hengelo,Hengolian,Netherlands
ani,Grosseto,Grossetani,Italy
ini,Varese,Varesini,Italy
no,Orihuela,Oriolano,Spain
bashi,Bolpur,Bolpurbashi,India
n,Uvinza,Uvinzan,Tanzania
eano,Valdemoro,Valdemoreano,Spain
ian,Arsikere,Arsikerian,India
esi,Fiumicino,Fiumicinesi,Italy
eano,Calarca,Calarqueano,Colombia
ino,Huaral,Huaralino,Peru
ois,Beziers,Biterrois,France
i,Basavakalyan,Basavakalyani,India
er,Roosendaal,Roosendaler,Netherlands
ino,Palencia,Palentino,Spain
ense,Unai,Unaiense,Brazil
n,Gandia,Gandian,Spain
ni,Caserta,Casertani,Italy
n,Fazilka,Fazilkan,India
awi,Jablah, Jablawi,Syria
giano,Asti,Astigiano,Italy
ite,Wyoming,Wyomingite,United States
ense,Ibiuna,ibiunense,Brazil
i,Bethlehem,Bethlehemi,United States
eanos,Fajardo,FajardeÃ±os,Puerto Rico
ense,Itapira,Itapirense,Brazil
kar,Ambajogai,Ambajogaikar,India
esi,Gela,Gelesi,Italy
aar,Hoorn,Hoornaar,Netherlands
er,Almelo,Almeloer,Netherlands
n,Quillota,Quillotan,Chile
ero,Paterna,Paternero,Spain
ense,Vinhedo,Vinhedense,Brazil
ano,Santa Rosa de Cabal,Santarrosano,Colombia
enser,Esbjerg,Esbjergenser,Denmark
ano,Bacacay,Bacacayano,Philippines
in,Catanauan,Catanauanin,Philippines
esi,Pavia,Pavesi,Italy
ense,Aracati,aracatiense,Brazil
hin,Gumaca,Gumacahin,Philippines
esi,Cremona,Cremonesi,Italy
nian,Calauag,Calauagenian,Philippines
kar,Goa,Goenkar,Philippines
ense,Benidorm,benidormense,Spain
eano,Cabudare,Cabudareano,Venezuela
in,Mauban,Maubanin,Philippines
ite,Wenatchee,Wenatcheeite,United States
ian,Bundaberg,Bundabergian,Australia
ense,Cacador,Cacadorense,Brazil
n,Zenica,Zenican,Bosnia and Herzegovina
n,Altamura,Altamuran,Italy
esi,Imola,Imolesi,Italy
eano,Indang,Indangeano,Philippines
er,Cannock,Cannocker,United Kingdom
esne,Zapotlanejo,Zapotlanejense,Mexico
ino,Sagunto,Saguntino,Spain
esi,Viterbo,Viterbesi,Italy
ense,Trapani,Trapanese,Italy
karan,Kanhangad,Kanhangadukaran,India
n,Virginia,Virginian,South Africa
ian,Kazanlak,Kazanlakian,Bulgaria
er,Nieuwegein,Nieuwegeiner,Netherlands
in,Nagcarlan,Nagcarlangin,Philippines
ing,Sandefjord,Sandefjording,Norway
i,Palitana,Palitani,India
in,Atimonan,Atimonanin,Philippines
dar,Irun,irundar,Spain
an,Fairbanks,Fairbanksan,United States
esi,Vigevano,Vigevanesi,Italy
esi,Carrara,Carraresi,Italy
ense,Camboriu,camboriuense,Brazil
ense,Carazinho,carazinhense,Brazil
ianer,Horsens,Horsensianer,Denmark
ring,Asker,Askering,Norway
ini,Viareggio,Viareggini,Italy
non,Abuyog,Abuyognon,Philippines
ian,Chalkida,Chalcidian,Greece
non,Laoang,Laoangnon,Philippines
non,Gubat,Gubatnon,Philippines
esi,Savona,Savonesi,Italy
ni,Matera,Materani,Italy
esi,Molfetta,Molfettesi,Italy
esi,Olbia,Olbiesi,Italy
eano,Aranjuez,ribereano,Spain
er,Hardenberg,Hardenberger,Netherlands
ine,Agrigento,Agrigentine,Italy
in,Montenegro,Montenegrin,Brazil
ivi,Sandila,Sandilivi,India
ini,Faenza,Faentini,Italy
ganon,Palompon,Palomponganon,Philippines
ese,Moncalieri,Moncalierese,Italy
an,Serres,Serrean,Greece
ian,Fredericton,Frederictonian,Canada
enser,Tonsberg,Tonsbergenser,Norway
ense,La Plata,platense,Colombia
ati,Foligno,Folignati,Italy
wasi,Vrindavan,Vrindavanwasi,India
bashi,Raxaul,Raxaulbashi,India
er,Oosterhout,Oosterhouter,Netherlands
enyo,Paombong,Paombongenyo,Philippines
ese,Cuneo,Cuneese,Italy
kar,Anjangaon,Anjangaonkar,India
iya,Pithoragarh,Pithoragarhiya,India
esi,Bisceglie,Biscegliesi,Italy
i,Viramgam,Viramgami,India
wala,Bhongir,Bhongirwala,India
an,Asturias,Asturian,Philippines
n,Carigara,Carigaran,Philippines
an,Mali,Malian,China
aar,Terneuzen,Terneuzenaar,Netherlands
esi,Montesilvano,Montesilvanesi,Italy
ese,Siena,Senese,Italy
ite,Daudnagar,Daudnagarite,India
in,Tagkawayan,Tagkawayanin,Philippines
ense,Huesca,Oscense,Spain
ense,Upata,Upatense,Venezuela
in,Lucban,Lucbanin,Philippines
enser,Roskilde,Roskildenser,Denmark
ian,Galveston,Galvestonian,United States
n,America,American,United States
ia,Koraput,Koraputia,India
kar,Phaltan,Phaltankar,India
esi,Pordenone,Pordenonesi,Italy
esi,Battipaglia,Battipagliesi,Italy
no,Chieti,Chietino,Italy
ite,Bozeman,Bozemanite,United States
esi,Misterbianco,Misterbianchesi,Italy
n,Segovia,Segovian,Spain
iya,Sujanpur,sujanpuriya,India
ero,Baranoa,Baranoero,Colombia
enser,Herning,Herningenser,Denmark
enser,Silkeborg,Silkeborgenser,Denmark
ano,Mantova,Mantovano,Italy
er,Harderwijk,Harderwijker,Netherlands
i,Kapadvanj,Kapadvanji,India
ero,Adeje,Adejero,Spain
er,Waalwijk,Waalwijker,Netherlands
otti,Chioggia,Chioggiotti,Italy
esi,Empoli,Empolesi,Italy
i,Lecco,Lecchesi,Italy
ian,Homnabad,Homnabadian,India
aar,Zutphen,Zutphenaar,Netherlands
aner,Helsingor,Helsingoraner,Denmark
er,Ridderkerk,Ridderkerker,Netherlands
ense,Chinchina,Chinchinense,Colombia
i,Bhatkal,Bhatkali,India
er,Minot,Minoter,United States
i,Umarkhed,Umarkhedi,India
ini,Rieti,Reatini,Italy
ense,Paracambi,Paracambiense,Brazil
eano,Urrao,Urraeno,Colombia
an,Blois,Bloisian,France
ate,Frosinone,Frusinate,Italy
aar,Veldhoven,Veldhovenaar,Netherlands
ese,Vercelli,Vercellese,Italy
an,Manvi,Manvian,India
ram,Rameswaram,Rameswarammar,India
ois,Sete,Setois,France
an,Manacor,Manacoran,Spain
er,Naestved,Naestveder,Denmark
ino,Vallenar,Vallenarino,Chile
ia,Angul,Angulia,India
esi,Senigallia,Senigalliesi,Italy
kar,Medak,Medakakar,India
esi,Bassano del Grappa,Bassanesi,Italy
aar,Rheden,Rhedenaar,Netherlands
er,Nijkerk,Nijkerker,Netherlands
esi,Alghero,Algheresi,Italy
an,Mankato,Mankatoan,United States
kar,Yeola,Yeolekar,India
naar,Tiel,Tielenaar,Netherlands
aar,Huizen,Huizenaar,Netherlands
ian,Charlottetown,Charlottetonian,Canada
ais,Castres,Castrais,France
ian,Pahrump,Pahrumpian,United States
esi,Macerata,Maceratesi,Italy
esi,Monterotondo,Monterotondesi,Italy
aar,Dronten,Drontenaar,Netherlands
ese,Merano,Meranese,Italy
esi,Vasto,Vastesi,Italy
esi,Sassuolo,Sassolesi,Italy
ote,Sarande,Sarandiote,Albania
ano,Antequera,antequerano,Spain
an,Delaware,Delawarean,United States
er,Wageningen,Wageninger,Netherlands
ensi,Sciacca,Saccensi,Italy
ani,Rovereto,Roveretani,Italy
ino,Huaura,Huaurino,Peru
ini,Iesi,Jesini,Italy
ejo,Camana,Camanejo,Peru
er,Heemskerk,Heemskerker,Netherlands
esi,Maddaloni,Maddalonesi,Italy
ani,Fondi,Fondani,Italy
yan,Vavuniya,Vavuniyan,Sri Lanka
esi,Voghera,Vogheresi,Italy
ian,Waxahachie,Waxahachian,United States
non,Caluya,Caluyanon,Philippines
er,Gorinchem,Gorkumer,Netherlands
naar,Landgraaf,Landgravenaar,Netherlands
er,Lluchmayor,Llucmajorer,Spain
aar,Veghel,Veghelaar,Netherlands
er,Holyoke,Holyoker,United States
er,Venlo,Venloer,Netherlands
ini,Caltagirone,Calatini,Italy
aar,Goes,Goesenaar,Netherlands
aar,Raalte,Raaltenaar,Netherlands
ense,Granadero Baigorria,baigorriense,Argentina
eano,Bantay,BantayeÃ±o,Philippines
ense,Paraty,paratiense,Brazil
ani,Fermo,Fermani,Italy
esi,Licata,Licatesi,Italy
ian,Bartlesville,Bartian,United States
folk,Porsgrunn,Porsgrunnsfolk,Norway
esi,Pinerolo,Pinerolesi,Italy
ero,Neiba,Neibero,Dominican Republic
esi,Nuoro,Nuoresi,Italy
i,Udhampur,Udhampuri,India
n,Dagami,Dagamin,Philippines
esi,Rende,Rendesi,Italy
eano,Andujar,Andujareano,Spain
esi,Somma Vesuviana,Sommesi,Italy
esi,Cento,Centesi,Italy
iti,Adrano,Adraniti,Italy
esi,Segrate,Segratesi,Italy
esi,Belluno,Bellunesi,Italy
ense,Teruel,Turolense,Spain
aar,Coevorden,Coevordenaar,Netherlands
ani,Osimo,Osimani,Italy
eano,Galapagar,Galapagueano,Spain
no,Yecla,Yeclano,Spain
ani,Gorizia,Goriziani,Italy
ois,Nevers,Neversois,France
ense,Bodoco,bodocense,Brazil
esi,Formigine,Formiginesi,Italy
eano,Caucagua,Caucagueano,Venezuela
eano,Mogpog,Mogpogueano,Philippines
ano,Cachoeira,Cachoeirano,Brazil
n,Almora,Almoran,India
ien,Cambrai,Cambrasien,France
non,Palapag,Palapagnon,Philippines
esi,Termoli,Termolesi,Italy
kar,Pulgaon,Pulgaonkar,India
esi,Mascalucia,Mascaluciesi,Italy
er,Lochem,Lochemer,Netherlands
an,Puerto Rico,Puerto Rican,Colombia
ano,Cacapava do Sul,cacapavano,Brazil
an,Kos,Koan,Greece
aar,Boxtel,Boxelaar,Netherlands
eano,Castro-Urdiales,Castreanos,Spain
ensi,Abbiategrasso,Abbiatensi,Italy
an,Dumalinao,Dumalinaoan,Philippines
n,Colombia,Colombian,Cuba
er,Aalsmeer,Aalsmeerder,Netherlands
er,Manises,Maniser,Spain
ano,Chancay,Chancayano,Peru
esi,Camaiore,Camaioresi,Italy
aar,Vught,Vughtenaar,Netherlands
esi,Milazzo,Milazzesi,Italy
er,Dumfries,Doonhamer,United Kingdom
ian,Nacogdoches,Nacogdochian,United States
non,Catubig,Catubignon,Philippines
esi,Grottaglie,Grottagliesi,Italy
ano,Itamarandiba,Itamarandibano,Brazil
ano,Quintero,Quinterano,Chile
esi,Oristano,Oristanesi,Italy
ans,Sitges,Sitgetans,Spain
esi,Avola,Avolesi,Italy
aar,Uithoorn,Uithoornaar,Netherlands
esi,Sarno,Sarnesi,Italy
ano,Jerez,Jerezanos,Guatemala
i,Mahemdavad,Mahemdavadi,India
es,Carballo,Carballes,Spain
ini,Nardo,Neretini,Italy
sar,Halden,Haldenser,Norway
esi,Ostuni,Ostunesi,Italy
esi,Marigliano,Mariglianesi,Italy
is,Chitral,Chitralis,Pakistan
eano,Guanta,Guanteano,Venezuela
aar,Leusden,Leusdenaar,Netherlands
an,Salou,Salouean,Spain
kar,Uran,Urankar,India
esi,Treviglio,Trevigliesi,Italy
ese,Aungban,Aungbanese,Myanmar
ero,Hellin,Hellinero,Spain
ero,Valdepenas,Valdepeanero,Spain
ois,Agde,Agathois,France
an,Mundi,Mundian,India
er,Culemborg,Culemborger,Netherlands
ini,Canosa di Puglia,Canosini,Italy
ense,Carinhanha,Carinhanhense,Brazil
esi,Misilmeri,Misilmeresi,Italy
esi,Parabiago,Parabiaghesi,Italy
tesne,Spinea,Spinetense,Italy
ian,Redondela,Redondeian,Spain
karan,Vattalkundu,Vathalagundukaran,India
ian,Sevenoaks,Sennockian,United Kingdom
esi,Monfalcone,Monfalconesi,Italy
esi,Poggibonsi,Poggibonsesi,Italy
as,Kavaje,Kavajas,Albania
enaar,Boxmeer,Boxmeerenaar,Netherlands
esi,Gragnano,Gragnanesi,Italy
ese,Carmagnola,Carmagnolese,Italy
esi,Pontedera,Pontaderesi,Italy
esi,Alatri,Alatresi,Italy
esi,Cervia,Cervesi,Italy
ense,Itatiaia,Itatiaiense,Brazil
er,Heerenveen,Heerenvener,Netherlands
ing,Lillehammer,Lillehamring,Norway
n,Venezuela,Venezuelan,Cuba
ani,Assisi,Assisiani,Italy
ero,Sesena,Seseanero,Spain
esi,Bacoli,Bacolesi,Italy
esi,Belpasso,Belpassesi,Italy
enser,Svendborg,Svendborgenser,Denmark
er,Nunspeet,Nunspeter,Netherlands
i,Almazora,Almassorai,Spain
ense,Tenares,Tenarense,Dominican Republic
eano,Cartama,Cartameano,Spain
er,Veendam,Veendammer,Netherlands
avi,Penukonda,penukondavi,India
esi,Mirano,Miranesi,Italy
nos,Lebrija,Lebrijano,Spain
i,Bandipura,Bandipori,India
naar,Hulst,Hulstenaar,Netherlands
ino,Mulchen,Mulchenino,Chile
nin,Macalelon,Macalelonin,Philippines
ian,Aytos,Aytossian,Bulgaria
er,Wassenaar,Wassenaarder,Netherlands
esi,Enna,Ennesi,Italy
ino,Fidenza,Fidentino,Italy
esi,Mesagne,Mesagnesi,Italy
ino,Pacasmayo,Pacasmayino,Peru
n,Albania,Albanian,Colombia
ing,Eidsvoll,Eidsvolling,Norway
i,Siofok,Siofoki,Hungary
esi,Arzignano,Arzignanesi,Italy
ino,Puerto Varas,Portovarino,Chile
ois,Saint-Bruno-de-Montarville,Montarvillois,Canada
ano,Mantua,Mantovano,Cuba
er,Oliva,Oliver,Spain
esi,Legnago,Legnaghesi,Italy
der,Oud-Beijerland,Oud-Beijerlander,Netherlands
aar,Baarn,Baarnaar,Netherlands
esi,Portogruaro,Portogruaresi,Italy
ense,Aimores,aimoreense,Brazil
i,Calpe,Calpi,Spain
er,Whitehorse,Whitehorser,Canada
ing,Nittedal,Nittedaling,Norway
in,Burdeos,Burdeosin,Philippines
eano,Algeciras,Algecireano,Colombia
nesi,Albenga,Albenganesi,Italy
aar,Putten,Puttenaar,Netherlands
esi,Sulmona,Sulmonesi,Italy
naar,Goirle,Goirlenaar,Netherlands
aar,Haaksbergen,Haaksbergenaar,Netherlands
esi,Copertino,Copertinesi,Italy
naar,Lisse,Lissenaar,Netherlands
esi,Noto,Notinesi,Italy
ini,Pietrasanta,Pietrasantini,Italy
