,city,term,country,suffix
2232,tuvalu,tuvaluan,,an
2155,chile,chilean,,an
2367,charlotte,charlottean,,an
2162,el salvador,salvadoran,,an
2182,north korea,north korean,,an
2272,hebrides,hebridean,,an
1231,manvi,manvian,India,an
2389,liverpool,liverpudlian,,an
2190,malawi,malawian,,an
897,mytilini,mytilenian,Greece,an
2254,brittany,breton,,an
2392,manila,manilans,,an
2209,paraguay,paraguayan,,an
2129,asia,asian,,an
2258,colorado,coloradan,,an
2275,indiana,hoosier,,an
2213,russia,russian,,an
2401,ottawa,ottawan,,an
2380,hanoi,hanoian,,an
2214,rwanda,rwandans,,an
2219,sierra leone,sierra leonean,,an
2352,west papua,west papuan,,an
2244,andalusia,andalusian,,an
227,bratislava,bratislavan,Slovakia,an
2149,botswana,botswanan,,an
2335,tahiti,tahitian,,an
2203,nauru,nauruan,,an
2374,danu,danuan,,an
2425,utica,utican,,an
481,vigo,vigoan,Spain,an
2081,sparta,spartan,,an
2381,hobart,hobartian,,an
2259,corsica,corsican,,an
70,dubai,dubaian,United Arab Emirates,an
2331,sumatra,sumatran,,an
2317,otago,otagan,,an
2168,gambia,gambian,,an
2160,czech republic,czech,,an
2187,liberia,liberian,,an
2194,mexico,mexican,,an
79,kyiv,kyivan,Ukraine,an
2412,san francisco,san franciscan,,an
1932,hatay,hatayan,,an
1184,mali,malian,China,an
243,monaco,monacan,Monaco,an
2362,bath,bathonian,,an
2177,indonesia,indonesian,,an
2893,baton rouge,baton rougean,United States,an
3153,ferrol,ferrolan,Spain,an
2208,papua new guinea,papua new guinean,,an
2391,manchester,mancunian,,an
2220,singapore,singaporean,,an
2403,pisa,pisan,,an
2204,nicaragua,nicaraguan,,an
1326,dumalinao,dumalinaoan,Philippines,an
2300,missouri,missourian,,an
2173,haiti,haitian,,an
2333,sumbawa,sumbawan,,an
2157,costa rica,costa rican,,an
27,hanoi,hanoian,Vietnam,an
1456,colorado,coloradan,Brazil,an
2366,canberra,canberran,,an
714,ourense,ourensan,Spain,an
2263,dalmatia,dalmatian,,an
2133,south america,south american,,an
2339,tennessee,tennessean,,an
1860,benevento,beneventan,,an
2153,cambodia,cambodian,,an
2348,waikato,waikatorian,,an
2411,san diego,san diegan,,an
2424,tulsa,tulsan,,an
1861,bengeo,bengean,,an
2284,kedah,kedahan,,an
634,larisa,larissean,Greece,an
151,abu dhabi,abu dhabian,United Arab Emirates,an
232,sarajevo,sarajevan,Bosnia and Herzegovina,an
2154,canada,canadian,,an
2132,north america,north american,,an
2265,district of columbia,washingtonian,,an
2212,romania,romanian,,an
2192,mali,malian,,an
602,kandy,kandyan,Sri Lanka,an
2308,newfoundland,newfoundlander,,an
2281,kansas,kansan,,an
2398,naypyidaw,naypyidawan,,an
2322,samogitia,samogitian,,an
2276,iowa,iowan,,an
2363,bristol,bristolian,,an
2260,crete,cretan,,an
2135,americas,american,,an
2156,colombia,colombian,,an
2351,western australia,western australian,,an
2278,java,javans,,an
2233,uganda,ugandan,,an
2238,zambia,zambian,,an
1259,delaware,delawarean,United States,an
2384,izmir,izmirian,,an
2229,tonga,tongan,,an
2139,algeria,algerian,,an
2385,kalamazoo,kalamazooan,,an
2324,sardinia,sardinians,,an
2301,moluccas,moluccan,,an
2364,brockton,brocktonian,,an
2193,mauritania,mauritanian,,an
2282,karelia,karelian,,an
2326,silesia,silesian,,an
2344,umbria,umbrian,,an
2312,nova scotia,nova scotian,,an
2087,syracuse,syracusan,,an
2189,lithuania,lithuanian,,an
2404,pueblo,puebloan,,an
2311,northwest territories,northwest territorian,,an
2332,sumba,sumban,,an
3057,san leandro,san leandran,United States,an
2330,styria,styrian,,an
2243,algarve,algarvian,,an
2899,santa fe,santa fean,Argentina,an
2174,honduras,honduran,,an
2146,belize,belizean,,an
2207,palau,palauan,,an
2268,galicia,galician,,an
2242,alberta,albertan,,an
2097,thebes,theban,,an
2130,australia,australian,,an
2234,united states,american,,an
2386,kyiv,kyivan,,an
2309,normandy,norman,,an
2137,afghanistan,afghan,,an
2378,galway,galwegian,,an
2046,regina,reginan,,an
2341,thuringia,thuringian,,an
2143,armenia,armenian,,an
2334,syrmia,syrmian,,an
302,fresno,fresnan,United States,an
2420,tauranga,taurangian,,an
586,cuddalore,cuddalorean,India,an
2293,mandalay,mandalayan,,an
1244,mankato,mankatoan,United States,an
2252,borneo,bornean,,an
2196,moldova,moldovan,,an
2169,georgia,georgian,,an
83,minneapolis,minneapolitan,United States,an
224,san salvador,sansalvadoran,El Salvador,an
174,helsinki,helsinkian,Finland,an
2180,kenya,kenyan,,an
2152,burundi,burundian,,an
2365,bogotá,bogotan,,an
2314,oklahoma,oklahoman,,an
2231,turkey,turk,,an
1855,baton rouge,baton rougean,,an
390,kurnool,kurnoolian,India,an
2250,bavaria,bavarian,,an
2343,transylvania,transylvanian,,an
2394,medina,medinan,,an
2188,libya,libyan,,an
281,thessaloniki,thessalonian,Greece,an
2356,adelaide,adelaidean,,an
2216,samoa,samoan,,an
2292,majorca,majorcan,,an
2264,delaware,delawarean,,an
2379,glasgow,glaswegian,,an
39,miami,miamian,United States,an
2266,extremadura,extremaduran,,an
2410,san antonio,san antonian,,an
1900,east troy,east trojan,,an
2236,vanuatu,vanuatuan,,an
2390,madera,maderan,,an
2223,somalia,somali,,an
2181,kiribati,kiribatian,,an
1875,carlisle,carlislian,,an
2302,montana,montanan,,an
2225,sri lanka,sri lankan,,an
543,panabo,panaboan,Philippines,an
350,nellore,nellorean,India,an
217,riga,rigan,Latvia,an
2277,jakarta,jakartan,,an
2337,taranaki,taranakian,,an
2210,persia,persian,,an
2408,sacramento,sacramentan,,an
173,rosario,rosar an,Argentina,an
3298,palakodu,palakkadan,India,an
2240,abkhazia,abkhazian,,an
2270,gaza strip,gazan,,an
2298,minnesota,minnesotan,,an
2172,guinea,guinean,,an
2388,las vegas,las vegan,,an
2148,bosnia,bosnian,,an
544,solihull,silhillian,United Kingdom,an
2145,barbuda,barbudan,,an
2138,albania,albanian,,an
73,san diego,san diegan,United States,an
2336,tamil nadu,tamila,,an
551,coquimbo,coquimban,Chile,an
2310,north dakota,north dakotan,,an
88,lisbon,lisboan,Portugal,an
2166,fiji,fijian,,an
280,honolulu,honolulan,United States,an
2419,surabaya,surabayan,,an
2370,cincinnati,cincinnatian,,an
2226,kitts,kittitians  nevisian,,an
2289,louisiana,louisianan,,an
2396,milwaukee,milwaukeean,,an
2347,virginia,virginian,,an
2246,arkansas,arkansan,,an
2217,saudi arabia,saudi arabian,,an
2222,slovenia,slovenian,,an
2305,nevada,nevadan,,an
2417,sofia,sofian,,an
2261,crimea,crimean,,an
3341,kannamangalam,kannamangalan,India,an
2418,st  louis,st  louisan,,an
2313,ohio,ohioan,,an
2360,atlanta,atlantan,,an
2279,johor,johorean,,an
2211,puerto rico,puerto rican,,an
2171,guatemala,guatemalan,,an
292,albuquerque,albuquerquean,United States,an
2227,syria,syrian,,an
2200,mozambique,mozambican,,an
2319,patagonia,patagonian,,an
2269,galilee,galilean,,an
2019,paducah,paducahan,,an
404,aomori,aomorian,Japan,an
25,chicago,chicagoan,United States,an
3067,south san francisco,south san franciscan,United States,an
368,kitwe,kitwean,Zambia,an
1182,asturias,asturian,Philippines,an
2215,saint lucia,saint lucian,,an
223,djibouti,djiboutian,Djibouti,an
2273,idaho,idahoan,,an
2376,dundee,dundonian,,an
1362,mundi,mundian,India,an
2349,wake island,wakean,,an
2924,temuco,temucan,Chile,an
392,melaka,malaccan,Malaysia,an
2355,aberdeen,aberdonian,,an
2274,illinois,illinoisan,,an
2251,bohemia,bohemian,,an
84,malang,malangan,Indonesia,an
2325,saskatchewan,saskatchewanians,,an
1322,kos,koan,Greece,an
2397,minneapolis,minneapolitan,,an
2283,kayah state,kayahan,,an
2176,india,indian,,an
2338,tasmania,tasmanians,,an
3239,san luis obispo,san luis obispan,United States,an
2144,austria,austrian,,an
2316,oregon,oregonian,,an
3050,geita,geitan,Tanzania,an
2329,south dakota,south dakotan,,an
2253,british columbia,british columbian,,an
405,boise,boisean,United States,an
2373,coventry,coventrian,,an
373,johor bahru,johor bahruans,Malaysia,an
2184,kosovo,kosovan,,an
2199,morocco,moroccan,,an
3289,kangayam,kangeyan,India,an
2197,mongolia,mongolian,,an
2179,jamaica,jamaican,,an
474,tampico,tampican,Mexico,an
362,ndola,ndolean,Zambia,an
2354,wisconsin,wisconsinite,,an
2245,arizona,arizonan,,an
2262,cumbria,cumbrian,,an
140,semarang,semarangan,Indonesia,an
2323,sabah,sabahan,,an
2170,germany,german,,an
2286,kerala,keralit,,an
2201,myanmar,myanman,,an
2395,miami,miamian,,an
2303,moravia,moravian,,an
2423,tucson,tucsonan,,an
2353,westphalia,westphalian,,an
2267,florida,floridan,,an
2318,papua,papuan,,an
2159,cuba,cuban,,an
2140,andorra,andorran,,an
2161,dominican republic,dominican,,an
2369,chicago,chicagoan,,an
1894,denizli,denizlian,,an
2382,indianapolis,indianapolitan,,an
1320,puerto rico,puerto rican,Colombia,an
2340,texas,texan,,an
2224,south africa,south african,,an
2131,europe,european,,an
3354,malangam,malangan,India,an
131,cincinnati,cincinnatian,United States,an
2198,monaco,monacan,,an
730,galle,galleans,Sri Lanka,an
2038,provo,provoan,,an
2280,judea,judean,,an
2358,albuquerque,albuquerqueans,,an
3195,belampalli,bellampallian,India,an
1909,fargo,fargoan,,an
935,canovellas,canovelli,Spain,i
992,nadur,naduri,Malta,i
2834,tajikistan,tajikistani,,i
3344,golakpur,gorakhpuri,India,i
957,naxxar,naxxari,Malta,i
2860,sylhet,sylheti,,i
2850,faridabad,faridabad,,i
290,homs,homsi,Syria,i
175,jabalpur,jabalpuri,India,i
2937,szeged,szegedi,Hungary,i
1601,alginet,algineti,Spain,i
192,fes,fassi,Morocco,i
132,mosul,mosuli,Iraq,i
621,hajipur,hajipuri,India,i
1000,gharghur,gharghuri,Malta,i
531,sambhal,sambhali,India,i
615,bharuch,bharuchi,India,i
35,baghdad,baghdadi,Iraq,i
2833,qatar,qatari,,i
495,ratlam,ratlami,India,i
1004,xghajra,xghajri,Malta,i
2849,dagestan,dagestan,,i
918,mosta,mosti,Malta,i
592,ratnapura,ratanpuri,Sri Lanka,i
1210,kapadvanj,kapadvanji,India,i
3041,firozpur,firozpuri,India,i
210,islamabad,islamabadi,Pakistan,i
72,faisalabad,faisalabadi,Pakistan,i
257,kermanshah,kermashahi,Iran,i
184,srinagar,srinagari,India,i
355,samarkand,samarkandi,Uzbekistan,i
3332,laxmipur,laxmipuri,India,i
1007,sannat,sannati,Malta,i
2844,barisal,barisali,,i
461,kasur,kasuri,Pakistan,i
3318,bhadarwah,bhaderwahi,India,i
3012,salmas,salmasi,Iran,i
696,fasa,fasa i,Iran,i
323,bhavnagar,bhavnagari,India,i
2829,kuwait,kuwaiti,,i
722,bahrain,bahraini,Pakistan,i
2125,zintan,zintani,,i
181,varanasi,banarasi,India,i
2840,allahabad,allahabadi,,i
1292,udhampur,udhampuri,India,i
1992,morphou,morfiti,,i
20,hyderabad,hyderabadi,India,i
715,girona,gironi,Spain,i
377,sylhet,sylheti,Bangladesh,i
2990,mandsaur,mandsauri,India,i
1391,almazora,almassorai,Spain,i
972,balzan,balzani,Malta,i
941,zabbar,zabbari,Malta,i
2841,azawad,azawadi,,i
259,marrakech,marrakshi,Morocco,i
1744,nagyatad,nagyatadi,Hungary,i
537,monghyr,mungeri,India,i
145,tabriz,tabrizi,Iran,i
2838,uzbekistan,uzbekistani,,i
1497,keszthely,keszthelyi,Hungary,i
229,beirut,beiruti,Lebanon,i
69,mashhad,mashhadi,Iran,i
3333,jagannathpur,jagannathpuri,India,i
2960,kecskemet,kecskemeti,Hungary,i
37,allahbad,allahabadi,India,i
183,medina,medani,Saudi Arabia,i
2847,bharat,bharatiy,,i
3321,mansapur,manaspuri,India,i
2845,beirut,beiruti,,i
34,surat,surati,India,i
211,raipur,raipuri,India,i
3300,barhampur,berhampuri,India,i
2853,hyderabad,hyderabadi,,i
2969,baramula,baramulli,India,i
2852,hazara,hazaragi,,i
1346,mahemdavad,mahemdavadi,India,i
68,lucknow,lakhnawi,India,i
549,zanzibar,zanzibari,Tanzania,i
1995,mymensingh,mymensingh,,i
3144,mansehra,mansehri,Pakistan,i
3002,veszprem,veszpremi,Hungary,i
15,tehran,tehrani,Iran,i
3178,zahirabad,zahirabadi,India,i
2861,yorkshire,yorkie,,i
628,miskolc,miskolci,Hungary,i
2907,ganca,gancai,Azerbaijan,i
570,jhelum,jhelumi,Pakistan,i
360,ardabil,ardabili,Iran,i
2837,united arab emirates,emirati,,i
311,gorakhpur,gorakhpuri,India,i
1766,panjab,punjabi,Afghanistan,i
157,faridabad,faridabadi,India,i
2859,sindh,sindhi,,i
2855,lahore,lahori,,i
878,salgotarjan,salgotarjani,Hungary,i
300,kerman,kermani,Iran,i
3022,sopur,sopori,India,i
378,jamnagar,jamnagari,India,i
991,xaghra,xaghri,Malta,i
2891,sialkot,sialkoti,Pakistan,i
359,yazd,yazdi,Iran,i
2842,azra,azragi,,i
3257,mahbubabad,mahabubabadi,India,i
29,ahmedabad,amdavadi,India,i
1088,basavakalyan,basavakalyani,India,i
486,karimnagar,karimnagari,India,i
2830,kyrgyzstan,kyrgyzstani,,i
3220,tadmur,tadmuri,Syria,i
2913,nizamabad,nizamabadi,India,i
3290,dinanagar,dinanagari,India,i
449,debrecen,debreceni,Hungary,i
875,paiporta,paiporti,Spain,i
255,solapur,solapuri,India,i
56,kabul,kabuli,Afghanistan,i
1215,lecco,lecchesi,Italy,i
977,birzebbuga,birzebbugi,Malta,i
922,fgura,fguri,Malta,i
3120,mqabba,mqabbi,Malta,i
3248,ellenabad,ellenabadi,India,i
971,zurrieq,zurrieqi,Malta,i
57,mogadishu,mogadishawi,Somalia,i
74,jaipur,jaipuri,India,i
528,nadiad,nadiadi,India,i
3056,netrakona,netrokoni,Bangladesh,i
2828,kazakhstan,kazakhstani,,i
124,multan,multani,Pakistan,i
2902,malerkotla,malerkotli,India,i
645,pakpattan,pakpattni,Pakistan,i
3103,bahagalpur,bhagalpuri,India,i
2831,nepal,nepali,,i
3348,bhagatpur,bhagatpuri,India,i
3264,maulavi bazar,moulvi bazari,Bangladesh,i
561,suhaj,sohagi,Egypt,i
488,dewas,dewasi,India,i
1140,palitana,palitani,India,i
452,bijapur,bijapuri,India,i
2978,veraval,veravali,India,i
3345,kharial,khariali,India,i
2935,gyor,gyori,Hungary,i
511,jessore,jashorie,Bangladesh,i
410,bhagalpur,bhagalpuri,India,i
964,zejtun,zejtuni,Malta,i
144,jamshedpur,jamshedpuri,India,i
496,szekesfehervar,szekesfehervari,Hungary,i
2857,rajasthan,rajasthani,,i
3329,shamshernagar,shamshernagari,India,i
3083,benetuser,benetussi,Spain,i
3116,gangapur,ganagapuri,India,i
2826,bangladesh,bangladeshi,,i
271,moradabad,moradabadi,India,i
2854,kumaon,kumaon,,i
3304,gandarbal,ganderbali,India,i
17,lahore,lahori,Pakistan,i
475,bihar,bihari,India,i
2846,bangladesh,bengali,,i
2827,iraq,iraqi,,i
2848,bihar,bihar,,i
1009,munxar,munxari,Malta,i
1003,imtarfa,mtarfi,Malta,i
1398,bandipura,bandipori,India,i
962,zebbug,zebbugi,Malta,i
3293,afzalpur,afzalpuri,India,i
684,osmanabad,osmanabadi,India,i
1697,muzaffarnagar,muzaffarnagri,India,i
3351,dharhwad,dharwadi,India,i
136,mecca,makki,Saudi Arabia,i
3099,balaungi,balaungiri,India,i
631,szombathely,szombathelyi,Hungary,i
1099,bethlehem,bethlehemi,United States,i
93,mirzapur,mirzapuri,India,i
979,mellieha,melliehi,Malta,i
3007,hoshangabad,hoshangabadi,India,i
1008,kercem,kercemi,Malta,i
1994,munich,munchner,,er
2715,puntland,puntlander,,er
1415,oliva,oliver,Spain,er
2699,london,londoner,,er
3180,doetinchem,doetinchemmer,Netherlands,er
917,aarau,aarauer,Switzerland,er
1919,godalming,godalminger,,er
2063,salzburg,salzburger,,er
1209,harderwijk,harderwijker,Netherlands,er
1970,linz,linzer,,er
879,molde,moldenser,Norway,er
933,westmount,westmounter,Canada,er
1235,naestved,naestveder,Denmark,er
2701,luxembourg,luxembourger,,er
1506,laives,leiferer,Italy,er
857,maassluis,maassluizer,Netherlands,er
2704,netherlands,netherlanders,,er
1510,kristiansund,kristiansunder,Norway,er
1382,heerenveen,heerenvener,Netherlands,er
2697,leipzig,leipziger,,er
1278,venlo,venloer,Netherlands,er
1363,culemborg,culemborger,Netherlands,er
869,bussum,bussumer,Netherlands,er
1775,farsund,farsunder,Norway,er
375,staten island,staten islander,United States,er
1472,bulach,bulacher,Switzerland,er
1390,nunspeet,nunspeter,Netherlands,er
945,arbon,arboner,Switzerland,er
65,montreal,montrealer,Canada,er
746,schiedam,schiedammer,Netherlands,er
1901,edinburgh,edinburger,,er
2730,zurich,zuricher,,er
1963,leipzig,leipziger,,er
825,beverwijk,beverwijker,Netherlands,er
2713,prague,praguer,,er
1693,leidschendam,leidschendammer,Netherlands,er
3090,melrose park,melrose parker,United States,er
1915,frankfurt,frankfurter,,er
384,salt lake city,salt laker,United States,er
135,cleveland,clevelander,United States,er
397,oakland,oaklander,United States,er
366,sheffield,sheffielder,United Kingdom,er
515,groningen,groninger,Netherlands,er
2084,sunshine coast,sunshine coaster,,er
221,quebec,quebecer,Canada,er
1129,cannock,cannocker,United Kingdom,er
2696,leeds,loiner,,er
2966,cape coast,cape coaster,Ghana,er
708,thunder bay,thunder bayer,Canada,er
1160,hardenberg,hardenberger,Netherlands,er
1859,belfast,belfaster,,er
2700,lorraine,lorrainer,,er
881,zug,zuger,Switzerland,er
514,sandnes,sandneser,Norway,er
1329,manises,maniser,Spain,er
1935,incheon,incheoner,,er
916,allschwil,allschwiler,Switzerland,er
2058,rye,ryer,,er
325,rotterdam,rotterdammer,Netherlands,er
3109,flower hill,flower hiller,United States,er
2051,richmond,richmonder,,er
2689,frankfurt,frankfurter,,er
1858,beijing,beijinger,,er
18,london,londoner,United Kingdom,er
32,hong kong,hongkonger,Hong Kong,er
889,leiderdorp,leiderdorper,Netherlands,er
575,basel,basler,Switzerland,er
1222,minot,minoter,United States,er
1499,yellowknife,yellowknifer,Canada,er
1920,gold coast,gold coaster,,er
2680,bucharest,bucharester,,er
1041,southport,sandgrounder,United Kingdom,er
963,meliana,melianer,Spain,er
2676,auckland,aucklander,,er
2681,budapest,budapester,,er
1212,waalwijk,waalwijker,Netherlands,er
431,youngstown,youngstowner,United States,er
1913,fort lauderdale,fort lauderdaler,,er
787,biel,bieler,Switzerland,er
2017,paddock lake,paddock laker,,er
1719,simpelveld,simpelvelter,Netherlands,er
130,pittsburgh,pittsburgher,United States,er
3196,tinley park,tinley parker,United States,er
333,gothenburg,gothenburger,Sweden,er
2908,fort wayne,fort wayner,United States,er
64,detroit,detroiter,United States,er
1458,woensdrecht,woensdrechter,Netherlands,er
389,pyeongtaek,pyeongtaeker,South Korea,er
1898,dresden,dresdener,,er
2679,berlin,berliner,,er
1725,fife,fifer,United States,er
792,new brunswick,new brunswicker,United States,er
1663,voerendaal,voerendaler,Netherlands,er
1531,niagara on the lake,niagara on the laker,Canada,er
2727,winnipeg,winnipegger,,er
2690,greenland,greenlanders,,er
860,chur,churer,Switzerland,er
3032,alkmaar,alkmaarder,Netherlands,er
821,thun,thuner,Switzerland,er
530,tilburg,tilburger,Netherlands,er
2008,nuremberg,nuremberger,,er
487,south bend,south bender,United States,er
1466,leerdam,leerdammer,Netherlands,er
228,tallinn,tallinner,Estonia,er
2688,fife,fifer,,er
2684,copenhagen,copenhagener,,er
927,adliswil,adliswiler,Switzerland,er
485,graz,grazer,Austria,er
2710,oakland,oaklander,,er
597,haarlem,haarlemmer,Netherlands,er
1137,nieuwegein,nieuwegeiner,Netherlands,er
2712,pittsburgh,pittsburgher,,er
2033,portland,portlander,,er
527,singkawang,singkawanger,Indonesia,er
1914,fort wayne,fort wayner,,er
2106,twin lakes,twin laker,,er
54,berlin,berliner,Germany,er
1273,gorinchem,gorkumer,Netherlands,er
735,amstelveen,amstelvener,Netherlands,er
1595,woudrichem,woudrichemmer,Netherlands,er
2728,yellowknife,yellowknifer,,er
2694,iceland,icelanders,,er
2921,shreveport,shreveporter,United States,er
612,amersfoort,amersfoorter,Netherlands,er
2053,roanoke,roanoker,,er
925,alblasserdam,alblasserdammer,Netherlands,er
394,zurich,zuricher,Switzerland,er
2719,rhode island,rhode islander,,er
85,stuttgart,stuttgarter,Germany,er
2675,amsterdam,amsterdammer,,er
1328,aalsmeer,aalsmeerder,Netherlands,er
1089,roosendaal,roosendaler,Netherlands,er
934,solothurn,solothurner,Switzerland,er
2724,stuttgart,stuttgarter,,er
2729,york  uk,yorker,,er
1036,hilversum,hilversummer,Netherlands,er
94,hamburg,hamburger,Germany,er
142,stockholm,stockholmer,Sweden,er
768,katwijk,katwijker,Netherlands,er
2716,quebec,quebecker,,er
1570,nuth,nutter,Netherlands,er
167,prague,praguer,Czechia,er
2077,silver lake,silver laker,,er
868,papendrecht,papendrechter,Netherlands,er
2721,saigon,saigoner,,er
1656,tetiiv,tetiever,Ukraine,er
2705,new brunswick,new brunswicker,,er
2894,new haven,new havener,United States,er
801,barendrecht,barendrechter,Netherlands,er
740,purmerend,purmerender,Netherlands,er
1277,holyoke,holyoker,United States,er
693,winterthur,winterthurer,Switzerland,er
2708,new zealand,new zealanders,,er
2678,bergen,bergener,,er
2709,newfoundland,newfoundlander,,er
2693,hong kong,hongkonger,,er
3225,weert,weerter,Netherlands,er
2711,pangkal pinang,pangkalpinanger,,er
2722,solomon islands,solomon islander,,er
2116,wheatland,wheatlander,,er
762,veenendaal,veenendaler,Netherlands,er
610,enschede,enschedeer,Netherlands,er
988,glarus,glarner,Switzerland,er
220,winnipeg,winnipegger,Canada,er
753,vlaardingen,vlaardinger,Netherlands,er
2707,new york,new yorker,,er
2026,phoenix,phoenician,,er
3165,kolding,koldinger,Denmark,er
2691,hamburg,hamburger,,er
2695,kosovo,kosovars,,er
1543,middelfart,middelfarter,Denmark,er
433,utrecht,utrechter,Netherlands,er
2006,norfolk,norfolker,,er
3031,kristiansand,kristiansander,Norway,er
26,nanjing,nanjinger,China,er
725,holland,hollander,United States,er
1931,hastings,hastinger,,er
1567,bentheim,bentheimer,Germany,er
1943,johannesburg,johannesburger,,er
1260,wageningen,wageninger,Netherlands,er
1219,ridderkerk,ridderkerker,Netherlands,er
1394,veendam,veendammer,Netherlands,er
980,sarnen,sarner,Switzerland,er
2706,new england,new englander,,er
870,aldaya,aldaier,Spain,er
2718,rhineland,rhinelander,,er
2714,prince edward island,prince edward islander,,er
1441,yukon,yukoner,United States,er
3255,venray,venrayenaar,Netherlands,er
218,zagreb,zagreber,Croatia,er
2692,hannover,hannoveraner,,er
864,darwen,darrener,United Kingdom,er
1275,lluchmayor,llucmajorer,Spain,er
154,amsterdam,amsterdammer,Netherlands,er
1105,almelo,almeloer,Netherlands,er
2683,cook islands,cook islander,,er
1242,nijkerk,nijkerker,Netherlands,er
1358,aungban,aungbanese,Myanmar,ese
2981,araguaina,araguainese,Brazil,ese
2794,marshall islands,marshallese,,ese
1073,marsala,marsalese,Italy,ese
2789,kokang,kokanggese,,ese
244,san marino,san marinese,San Marino,ese
334,kuantan,kuantanese,Malaysia,ese
2771,calabria,calabrese,,ese
503,verona,veronese,Italy,ese
2824,vietnam,vietnamese,,ese
3185,kawthoung,kawthaunggese,Myanmar,ese
2783,guyana,guyanese,,ese
845,grugliasco,grugliaschese,Italy,ese
2776,east timor,east timorese,,ese
2763,bali,balinese,,ese
160,milan,milanese,Italy,ese
1012,udine,udinese,Italy,ese
716,novara,novarese,Italy,ese
2768,bhutan,bhutanese,,ese
799,collegno,collegnese,Italy,ese
3204,avellino,avellinese,Italy,ese
2802,portugal,portuguese,,ese
63,medan,medanese,Indonesia,ese
2762,assam,assamese,,ese
2767,bearn,bearnese,,ese
1187,siena,senese,Italy,ese
1544,malta,maltese,United States,ese
1044,pistoia,pistoiese,Italy,ese
345,genoa,genoese,Italy,ese
2765,benin,beninese,,ese
1029,lecce,leccese,Italy,ese
2779,gabon,gabonese,,ese
115,vienna,viennese,Austria,ese
1377,carmagnola,carmagnolese,Italy,ese
2817,taiwan,taiwanese,,ese
2766,bern,bernese,,ese
2780,genoa,genoese,,ese
771,guayama,guayameses,Puerto Rico,ese
420,taunggyi,taunggese,Myanmar,ese
2799,pa laung,palaunggese,,ese
2814,siam,siamese,,ese
116,ecatepec,ecatepequense,Mexico,ese
272,turin,turinese,Italy,ese
2819,tegal,tegalese,,ese
38,dalian,dalianese,China,ese
393,bandung,bandungese,Indonesia,ese
1176,cuneo,cuneese,Italy,ese
2770,burkina faso,burkinese,,ese
2795,milan,milanese,,ese
92,medellin,medellinense,Colombia,ese
2784,hainan,hainanese,,ese
2810,senegal,senegalese,,ese
2797,navarre,navarrese,,ese
1764,colindres,colindrese,Spain,ese
1611,caselle torinese,casellese,Italy,ese
2820,togo,togolese,,ese
1454,borgomanero,borgomanerese,Italy,ese
2782,guangdong,cantonese,,ese
2759,ajman,ajmanese,,ese
3104,bijelo polje,belopoljese,Montenegro,ese
2777,faroe islands,faroese,,ese
2796,burma,burmese,,ese
1254,merano,meranese,Italy,ese
1971,lugano,luganese,,ese
1540,saluzzo,saluzzese,Italy,ese
2787,kawthaung,kawthaunggese,,ese
2809,sassari,sassarese,,ese
1965,leon,leonese,,ese
2773,china,chinese,,ese
974,piedmont,piemontese,United States,ese
2822,umm al quwain,quwainese,,ese
1972,lyon,lyonese,,ese
2761,aceh,acehnese,,ese
2821,turin,torinese,,ese
1166,moncalieri,moncalierese,Italy,ese
806,nichelino,nichelinese,Italy,ese
2816,suriname,surinamese,,ese
22,wuhan,wuhanese,China,ese
1749,castellamonte,castellamontese,Italy,ese
466,catania,catanese,Italy,ese
31,khartoum,khartoumese,Sudan,ese
519,messina,messinese,Italy,ese
2808,sark,sarkese,,ese
2800,pa o,paonese,,ese
2786,japan,japanese,,ese
2818,taunggyi,taunggese,,ese
2772,cirebon,cirebonese,,ese
2785,hunan,hunanese,,ese
2781,grenadines,grenadinese,,ese
3245,biella,biellese,Italy,ese
455,bari,barese,Italy,ese
2758,abruzzo,abruzzese,,ese
2769,bologna,bolognese,,ese
2812,shanghai,shanghaiese,,ese
309,macau,macanese,Macau,ese
2791,leon,leonese,,ese
1718,corleone,corleonese,Italy,ese
2806,sagaing region,sagainggese,,ese
33,santiago,santiaguinos,Chile,s
231,tirana,tiranas,Albania,s
238,pristina,prishtinas,Kosovo,s
1949,karpasia,karpasias,,s
46,toronto,torontonian,Canada,nian
657,batticaloa,batticalonian,Sri Lanka,nian
658,yakima,yakimanian,United States,nian
687,carora,carorenian,Venezuela,nian
908,truro,truronian,United Kingdom,nian
1058,muncie,munsonian,United States,nian
1117,calauag,calauagenian,Philippines,nian
1473,westborough,westboronian,United States,nian
1515,wantagh,wantonian,United States,nian
1854,bath,bathonian,,nian
1866,buffalo,buffalonian,,nian
1885,chittagong,chittagonian,,nian
1976,manisa,manisanian,,nian
2066,urfa,urfanian,,nian
2565,bendigo,bendigonian,,nian
2566,buffalo,buffalonian,,nian
2567,cork,corkonian,,nian
2568,naga,naganian,,nian
2569,panama,panamanian,,nian
2570,sligo,sligonian,,nian
2571,tampa,tampanian,,nian
2572,tobago,tobagonian,,nian
2573,toronto,torontonian,,nian
2574,torquay,torquinian,,nian
2575,wa,wanian,,nian
48,belo horizonte,belo horizontino,Brazil,no
112,quito,quiteno,Ecuador,no
123,curitiba,curitibano,Brazil,no
129,montevideo,montevideano,Uruguay,no
143,puebla,poblano,Mexico,no
152,zapopan,zapopano,Mexico,no
212,arequipa,arequipeno,Peru,no
